epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
68,1054.72,1.14791,1.07827,1.62496,0.03165,0.8015,0.65131,0.7587,0.53511,1.1079,0.99482,1.51468,0.01768,0.0018263,0.0018263,0.0018263
69,1070.1,1.13715,1.03838,1.59947,0.0369,0.81472,0.67844,0.78871,0.55236,1.08686,0.95974,1.50156,0.01706,0.00182124,0.00182124,0.00182124
70,1085.51,1.13991,1.02516,1.59197,0.0345,0.79638,0.65686,0.76126,0.53164,1.10408,1.0252,1.53152,0.01598,0.00181612,0.00181612,0.00181612
71,1100.97,1.12091,1.01405,1.59761,0.033,0.84034,0.67127,0.78801,0.55877,1.10187,0.99854,1.4913,0.01714,0.00181093,0.00181093,0.00181093
72,1116.59,1.12464,1.02854,1.58769,0.0353,0.84058,0.65796,0.78473,0.5468,1.09231,0.96648,1.49094,0.01595,0.00180567,0.00180567,0.00180567
73,1131.83,1.1142,1.01358,1.5825,0.03186,0.80004,0.6979,0.78064,0.5465,1.10172,0.97078,1.50641,0.01564,0.00180035,0.00180035,0.00180035
74,1147.92,1.11893,1.01495,1.58713,0.03618,0.78339,0.67742,0.7584,0.52772,1.0914,1.01779,1.49604,0.01637,0.00179497,0.00179497,0.00179497
75,1163.34,1.10782,0.99003,1.58077,0.03267,0.80604,0.67027,0.77402,0.55097,1.0809,0.96211,1.49331,0.01689,0.00178952,0.00178952,0.00178952
76,1178.7,1.11318,0.99792,1.57939,0.03371,0.81055,0.65796,0.75298,0.53292,1.09393,1.02328,1.49956,0.01531,0.00178401,0.00178401,0.00178401
77,1194.42,1.08924,0.97256,1.55296,0.03098,0.85901,0.6554,0.78711,0.56559,1.07693,0.94615,1.49531,0.01529,0.00177844,0.00177844,0.00177844
78,1209.99,1.16022,1.03961,1.61016,0.03732,0.81384,0.67152,0.75762,0.53132,1.08373,0.99407,1.49019,0.01631,0.00177281,0.00177281,0.00177281
79,1225.23,1.13409,1.00185,1.58575,0.03589,0.81935,0.67537,0.77594,0.54951,1.0799,0.98102,1.47619,0.01525,0.00176711,0.00176711,0.00176711
80,1241.16,1.08646,0.97108,1.51535,0.03271,0.81428,0.68459,0.78081,0.54612,1.05884,0.9992,1.471,0.01444,0.00176136,0.00176136,0.00176136
81,1256.87,1.1105,0.99929,1.54661,0.03182,0.82911,0.68561,0.78618,0.55655,1.10547,0.9681,1.47999,0.01634,0.00175554,0.00175554,0.00175554
82,1272.43,1.11417,0.97821,1.54632,0.03322,0.812,0.68049,0.79203,0.56163,1.08078,0.95523,1.4843,0.01739,0.00174966,0.00174966,0.00174966
83,1287.79,1.0816,0.93074,1.53563,0.03171,0.80123,0.70456,0.78742,0.55902,1.06149,0.94526,1.48698,0.01477,0.00174373,0.00174373,0.00174373
84,1303.62,1.07066,0.93476,1.51814,0.03192,0.8572,0.66923,0.78957,0.5573,1.05577,0.95383,1.43442,0.01508,0.00173773,0.00173773,0.00173773
85,1319.93,1.08378,0.9504,1.52546,0.03298,0.82588,0.6723,0.77684,0.55121,1.10151,1.0006,1.49532,0.01763,0.00173168,0.00173168,0.00173168
86,1335.95,1.09664,0.95818,1.55186,0.03306,0.80407,0.69534,0.78982,0.56041,1.07353,0.93921,1.47082,0.01563,0.00172557,0.00172557,0.00172557
87,1351.14,1.0953,0.9492,1.51927,0.03264,0.79333,0.68408,0.77629,0.54967,1.06728,0.96282,1.46708,0.01491,0.0017194,0.0017194,0.0017194
88,1367.55,1.11825,1.00925,1.56358,0.03425,0.83998,0.68561,0.79683,0.57073,1.04371,0.93338,1.44435,0.01355,0.00171317,0.00171317,0.00171317
89,1383.05,1.09373,0.97357,1.53574,0.03268,0.84038,0.67936,0.78881,0.55045,1.10887,0.95822,1.51421,0.01528,0.00170689,0.00170689,0.00170689
90,1398.73,1.06397,0.92602,1.52361,0.02918,0.8252,0.67179,0.79234,0.57137,1.03978,0.9324,1.43853,0.01399,0.00170055,0.00170055,0.00170055
91,1413.9,1.0778,0.94686,1.52164,0.03086,0.83111,0.67526,0.76261,0.53997,1.05216,0.98611,1.46289,0.01424,0.00169415,0.00169415,0.00169415
